Time resolution is 1 ps
T=0 At time 
BAUD T=1000 At time 
BAUD T=3000 At time 
BAUD T=5000 At time 
BAUD T=7000 At time 
BAUD T=9000 At time 
BAUD T=11000 At time 
BAUD T=13000 At time 
BAUD T=15000 At time 
BAUD T=17000 At time 
BAUD T=19000 At time 
BAUD T=21000 At time 
BAUD T=23000 At time 
BAUD T=25000 At time 
BAUD T=27000 At time 
BAUD T=29000 At time 
BAUD T=31000 At time 
BAUD T=33000 At time 
BAUD T=35000 At time 
BAUD T=37000 At time 
BAUD T=39000 At time 
BAUD T=41000 At time 
BAUD T=43000 At time 
BAUD T=45000 At time 
BAUD T=47000 At time 
BAUD T=49000 At time 
BAUD T=51000 At time 
BAUD T=53000 At time 
BAUD T=55000 At time 
BAUD T=57000 At time 
BAUD T=59000 At time 
BAUD T=61000 At time 
BAUD T=63000 At time 
BAUD T=65000 At time 
BAUD T=67000 At time 
BAUD T=69000 At time 
BAUD T=71000 At time 
BAUD T=73000 At time 
BAUD T=75000 At time 
BAUD T=77000 At time 
BAUD T=79000 At time 
BAUD T=81000 At time 
BAUD T=83000 At time 
BAUD T=85000 At time 
BAUD T=87000 At time 
BAUD T=89000 At time 
BAUD T=91000 At time 
BAUD T=93000 At time 
BAUD T=95000 At time 
BAUD T=97000 At time 
BAUD T=99000 At time 
BAUD T=101000 At time 
BAUD T=103000 At time 
BAUD T=105000 At time 
BAUD T=107000 At time 
BAUD T=109000 At time 
BAUD T=111000 At time 
BAUD T=113000 At time 
BAUD T=115000 At time 
BAUD T=117000 At time 
BAUD T=119000 At time 
BAUD T=121000 At time 
BAUD T=123000 At time 
BAUD T=125000 At time 
BAUD T=127000 At time 
BAUD T=129000 At time 
BAUD T=131000 At time 
BAUD T=133000 At time 
BAUD T=135000 At time 
BAUD T=137000 At time 
BAUD T=139000 At time 
BAUD T=141000 At time 
BAUD T=143000 At time 
BAUD T=145000 At time 
BAUD T=147000 At time 
BAUD T=149000 At time 
BAUD T=151000 At time 
BAUD T=153000 At time 
BAUD T=155000 At time 
BAUD T=157000 At time 
BAUD T=159000 At time 
BAUD T=161000 At time 
BAUD T=163000 At time 
BAUD T=165000 At time 
BAUD T=167000 At time 
BAUD T=169000 At time 
BAUD T=171000 At time 
BAUD T=173000 At time 
BAUD T=175000 At time 
BAUD T=177000 At time 
BAUD T=179000 At time 
BAUD T=181000 At time 
BAUD T=183000 At time 
BAUD T=185000 At time 
BAUD T=187000 At time 
BAUD T=189000 At time 
BAUD T=191000 At time 
BAUD T=193000 At time 
BAUD T=195000 At time 
BAUD T=197000 At time 
BAUD T=199000 At time 
BAUD T=201000 At time 
BAUD T=203000 At time 
BAUD T=205000 At time 
BAUD T=207000 At time 
BAUD T=209000 At time 
BAUD T=211000 At time 
BAUD T=213000 At time 
BAUD T=215000 At time 
BAUD T=217000 At time 
BAUD T=219000 At time 
BAUD T=221000 At time 
BAUD T=223000 At time 
BAUD T=225000 At time 
BAUD T=227000 At time 
BAUD T=229000 At time 
BAUD T=231000 At time 
BAUD T=233000 At time 
BAUD T=235000 At time 
BAUD T=237000 At time 
BAUD T=239000 At time 
BAUD T=241000 At time 
BAUD T=243000 At time 
BAUD T=245000 At time 
BAUD T=247000 At time 
BAUD T=249000 At time 
BAUD T=251000 At time 
BAUD T=253000 At time 
BAUD T=255000 At time 
BAUD T=257000 At time 
BAUD T=259000 At time 
BAUD T=261000 At time 
BAUD T=263000 At time 
BAUD T=265000 At time 
BAUD T=267000 At time 
BAUD T=269000 At time 
BAUD T=271000 At time 
BAUD T=273000 At time 
BAUD T=275000 At time 
BAUD T=277000 At time 
BAUD T=279000 At time 
BAUD T=281000 At time 
BAUD T=283000 At time 
BAUD T=285000 At time 
BAUD T=287000 At time 
BAUD T=289000 At time 
BAUD T=291000 At time 
BAUD T=293000 At time 
BAUD T=295000 At time 
BAUD T=297000 At time 
BAUD T=299000 At time 
BAUD T=301000 At time 
BAUD T=303000 At time 
BAUD T=305000 At time 
BAUD T=307000 At time 
BAUD T=309000 At time 
BAUD T=311000 At time 
BAUD T=313000 At time 
BAUD T=315000 At time 
BAUD T=317000 At time 
BAUD T=319000 At time 
BAUD T=321000 At time 
BAUD T=323000 At time 
BAUD T=325000 At time 
BAUD T=327000 At time 
BAUD T=329000 At time 
BAUD T=331000 At time 
BAUD T=333000 At time 
BAUD T=335000 At time 
BAUD T=337000 At time 
BAUD T=339000 At time 
BAUD T=341000 At time 
BAUD T=343000 At time 
BAUD T=345000 At time 
BAUD T=347000 At time 
BAUD T=349000 At time 
BAUD T=351000 At time 
BAUD T=353000 At time 
BAUD T=355000 At time 
BAUD T=357000 At time 
BAUD T=359000 At time 
BAUD T=361000 At time 
BAUD T=363000 At time 
BAUD T=365000 At time 
BAUD T=367000 At time 
BAUD T=369000 At time 
BAUD T=371000 At time 
BAUD T=373000 At time 
BAUD T=375000 At time 
BAUD T=377000 At time 
BAUD T=379000 At time 
BAUD T=381000 At time 
BAUD T=383000 At time 
BAUD T=385000 At time 
BAUD T=387000 At time 
BAUD T=389000 At time 
BAUD T=391000 At time 
BAUD T=393000 At time 
BAUD T=395000 At time 
BAUD T=397000 At time 
BAUD T=399000 At time 
BAUD T=401000 At time 
BAUD T=403000 At time 
BAUD T=405000 At time 
BAUD T=407000 At time 
BAUD T=409000 At time 
BAUD T=411000 At time 
BAUD T=413000 At time 
BAUD T=415000 At time 
BAUD T=417000 At time 
BAUD T=419000 At time 
BAUD T=421000 At time 
BAUD T=423000 At time 
BAUD T=425000 At time 
BAUD T=427000 At time 
BAUD T=429000 At time 
BAUD T=431000 At time 
BAUD T=433000 At time 
BAUD T=435000 At time 
BAUD T=437000 At time 
BAUD T=439000 At time 
BAUD T=441000 At time 
BAUD T=443000 At time 
BAUD T=445000 At time 
BAUD T=447000 At time 
BAUD T=449000 At time 
BAUD T=451000 At time 
BAUD T=453000 At time 
BAUD T=455000 At time 
BAUD T=457000 At time 
BAUD T=459000 At time 
BAUD T=461000 At time 
BAUD T=463000 At time 
BAUD T=465000 At time 
BAUD T=467000 At time 
BAUD T=469000 At time 
BAUD T=471000 At time 
BAUD T=473000 At time 
